Ingredient ID,Ingredient Name,Category,Supplier Name,Supplier Type,Price per KG (USD),Potency (%),Active,Notes
RM003,Coral Calcium Powder (Food Grade),Minerals,"A Better Ingredient, LLC",Raw Material Supplier,7.00,95,TRUE,No
RM002,Coral calcium,Minerals,"A Better Ingredient, LLC",Raw Material Supplier,5.95,95,TRUE,No
RM015,Hydrolyzed Fish Collagen,Proteins,AIDP,Hydrolyzed Fish Collagen,20.00,90,TRUE,No
RM004,Berberine HCL 97%,Other,Abinopharma Inc,"Berberine HCL 97% , Nicotinamide Riboside Chloride Powder, Trans-Pterostilbene 99%",108.00,97,TRUE,No
RM005,Nicotinamide Riboside Chloride Powder,Minerals,Abinopharma Inc,"Berberine HCL 97% , Nicotinamide Riboside Chloride Powder, Trans-Pterostilbene 99%",106.00,95,TRUE,No
RM006,Trans-Pterostilbene 99%,Other,Abinopharma Inc,"Berberine HCL 97% , Nicotinamide Riboside Chloride Powder, Trans-Pterostilbene 99%",255.00,99,TRUE,No
RM007,Vitamin B12 (as Hydroxocobalamin),Vitamins,"Accobio USA, Inc.",Raw Material Supplier,805.00,98,TRUE,No
RM008,Iron (Bisglycinate) 20%,Minerals,Actylis/Talus Mineral Company,"Iron (Bisglycinate) 20%, Magnesium (Magnesium Glycinate 20%), Magnesium as (Magnesium Citrate) 30%, Sodium Selenite 1%, Magnesium (Magnesium Glycinate 30%)",18.03,20,TRUE,No
RM009,Magnesium (Magnesium Glycinate 20%),Minerals,Actylis/Talus Mineral Company,"Iron (Bisglycinate) 20%, Magnesium (Magnesium Glycinate 20%), Magnesium as (Magnesium Citrate) 30%, Sodium Selenite 1%, Magnesium (Magnesium Glycinate 30%)",12.65,20,TRUE,No
RM012,Magnesium (Magnesium Glycinate 30%),Minerals,Actylis/Talus Mineral Company,"Iron (Bisglycinate) 20%, Magnesium (Magnesium Glycinate 20%), Magnesium as (Magnesium Citrate) 30%, Sodium Selenite 1%, Magnesium (Magnesium Glycinate 30%)",12.00,30,TRUE,No
